"","id","nome","cpf","rua","terreno","casa","X","dms_x_M02","dms_x_M03","dms_x_M04","dms_x_M01","dms_y_M02","dms_y_M03","dms_y_M04","dms_y_M01","x_M02","x_M03","x_M04","x_M01","y_M02","y_M03","y_M04","y_M01"
"38",38,"Ze_e_Maria_38",55553306765,"rua Kokama",46,46,38,"59°54′50,8″W","59°54′50,6″W","59°54′51,3″W","59°54′51,4″W","3°4′7,7″S","3°4′7,9″S","3°4′8,1″S","3°4′7,9″S",-59.9140976249804,-59.9140682037217,-59.9142400017474,-59.9142650783913,-3.06879186603614,-3.06886296227052,-3.06892658241443,-3.06885802534367
"39",39,"Ze_e_Maria_39",24347530347,"rua Kokama",48,NA,39,"59°54′50,6″W","59°54′50,5″W","59°54′51,2″W","59°54′51,3″W","3°4′7,9″S","3°4′8,1″S","3°4′8,4″S","3°4′8,1″S",-59.9140682037217,-59.9140415338843,-59.9142172250328,-59.9142400017474,-3.06886296227052,-3.06892613077058,-3.06898692009249,-3.06892658241443
"40",40,"Ze_e_Maria_40",50950833920,"rua Kokama",50,NA,40,"59°54′50,5″W","59°54′50,4″W","59°54′51,1″W","59°54′51,2″W","3°4′8,1″S","3°4′8,4″S","3°4′8,6″S","3°4′8,4″S",-59.9140415338843,-59.9140124168371,-59.9141959043485,-59.9142172250328,-3.06892613077058,-3.06899790759303,-3.06904248277743,-3.06898692009249
"41",41,"Ze_e_Maria_41",65403266035,"rua Kokama",52,52,41,"59°54′50,7″W","59°54′50,5″W","59°54′51,0″W","59°54′51,1″W","3°4′8,4″S","3°4′8,7″S","3°4′8,9″S","3°4′8,6″S",-59.9140721802867,-59.9140308746842,-59.9141609626756,-59.9141961765205,-3.06901249766126,-3.06907144086232,-3.06912985936586,-3.06904255503948
"42",42,"Ze_e_Maria_42",91340245725,"rua Kokama",54,NA,42,"59°54′50,5″W","59°54′50,3″W","59°54′50,9″W","59°54′51,0″W","3°4′8,7″S","3°4′8,9″S","3°4′9,1″S","3°4′8,9″S",-59.9140308746842,-59.9139823772185,-59.9141315402742,-59.9141609626756,-3.06907144086232,-3.0691384039373,-3.06920089013508,-3.06912985936586
"43",43,"Ze_e_Maria_43",17681610562,"rua Kokama",56,56,43,"59°54′50,3″W","59°54′50,2″W","59°54′50,8″W","59°54′50,9″W","3°4′8,9″S","3°4′9,1″S","3°4′9,4″S","3°4′9,1″S",-59.9139823772185,-59.9139353274278,-59.9140972345524,-59.9141315402742,-3.0691384039373,-3.06920778703065,-3.06927883199099,-3.06920089013508
"44",44,"Ze_e_Maria_44",74870487200,"rua Satere",2,2,44,"59°54′50,6″W","59°54′50,8″W","59°54′50,2″W","59°54′50,0″W","3°4′9,7″S","3°4′9,4″S","3°4′9,1″S","3°4′9,4″S",-59.9140632965898,-59.9140972345524,-59.9139348300465,-59.9138827374743,-3.06935648480698,-3.06927883199099,-3.06920756877938,-3.06928197581507
"45",45,"Ze_e_Maria_45",81288702992,"rua Tukano",17,NA,45,"59°54′50,6″W","59°54′51,2″W","59°54′51,3″W","59°54′50,7″W","3°4′6,4″S","3°4′6,6″S","3°4′6,4″S","3°4′6,1″S",-59.9140546688158,-59.9142221158546,-59.9142546427103,-59.9140843365659,-3.06843274246282,-3.0685046832098,-3.06843695497799,-3.0683634581878
"46",46,"Ze_e_Maria_46",19962638927,"rua Tukano",18,NA,46,"59°54′50,5″W","59°54′51,1″W","59°54′51,2″W","59°54′50,6″W","3°4′6,6″S","3°4′6,9″S","3°4′6,6″S","3°4′6,4″S",-59.9140259737686,-59.9141888153394,-59.9142221158546,-59.9140546688158,-3.06849981823601,-3.06857282413073,-3.0685046832098,-3.06843274246282
"47",47,"Ze_e_Maria_47",64236489360,"rua Kokama",55,55,47,"59°54′50,7″W","59°54′51,3″W","59°54′51,4″W","59°54′50,8″W","3°4′9,7″S","3°4′9,9″S","3°4′9,7″S","3°4′9,4″S",-59.9140894505221,-59.9142631090229,-59.9142912238147,-59.9141236117055,-3.06936912436316,-3.06942291604189,-3.06935749982712,-3.06928796036626
"48",48,"Ze_e_Maria_48",48845924552,"rua Kokama",53,53,48,"59°54′50,8″W","59°54′51,4″W","59°54′51,6″W","59°54′50,9″W","3°4′9,4″S","3°4′9,7″S","3°4′9,5″S","3°4′9,2″S",-59.9141236117055,-59.9142915090298,-59.9143204821303,-59.9141515780331,-3.06928796036626,-3.06935721502117,-3.06929193512255,-3.06922164496437
"49",49,"Ze_e_Maria_49",19012184537,"rua Kokama",51,51,49,"59°54′50,9″W","59°54′51,6″W","59°54′51,7″W","59°54′51,0″W","3°4′9,2″S","3°4′9,5″S","3°4′9,2″S","3°4′9,0″S",-59.9141515780331,-59.9143204345945,-59.914349159063,-59.9141788991244,-3.06922164496437,-3.06929200632404,-3.0692247986763,-3.06915538575196
"50",50,"Ze_e_Maria_50",42644684194,"rua Kokama",49,49,50,"59°54′51,0″W","59°54′51,7″W","59°54′51,8″W","59°54′51,1″W","3°4′9,0″S","3°4′9,2″S","3°4′9,0″S","3°4′8,7″S",-59.9141788991244,-59.9143490511765,-59.9143772161679,-59.9142067097827,-3.06915538575196,-3.06922479211418,-3.06915923926844,-3.06908835052859
"51",51,"Ze_e_Maria_51",18964698029,"rua Kokama",47,47,51,"59°54′51,1″W","59°54′51,8″W","59°54′51,9″W","59°54′51,2″W","3°4′8,7″S","3°4′9,0″S","3°4′8,7″S","3°4′8,5″S",-59.9142067097827,-59.9143773206536,-59.9144044542106,-59.9142336578998,-3.06908835052859,-3.06915915936489,-3.06909182331267,-3.06901919777552
"52",52,"Ze_e_Maria_52",23980677100,"rua Kokama",45,45,52,"59°54′51,2″W","59°54′51,9″W","59°54′52,0″W","59°54′51,3″W","3°4′8,5″S","3°4′8,7″S","3°4′8,5″S","3°4′8,2″S",-59.9142336578998,-59.9144044484525,-59.9144308366076,-59.9142587857503,-3.06901919777552,-3.06909183760236,-3.06902342239841,-3.06895237337698
"53",53,"Ze_e_Maria_53",19371772041,"rua Kokama",43,43,53,"59°54′51,3″W","59°54′52,0″W","59°54′52,0″W","59°54′51,4″W","3°4′8,2″S","3°4′8,5″S","3°4′8,2″S","3°4′8,0″S",-59.9142587857503,-59.9144308841435,-59.9144570288613,-59.9142851772745,-3.06895237337698,-3.06902342239841,-3.06895497401208,-3.06888315981062
"54",54,"Ze_e_Maria_54",54179218023,"rua Kokama",41,41,54,"59°54′51,4″W","59°54′52,0″W","59°54′52,1″W","59°54′51,5″W","3°4′8,0″S","3°4′8,2″S","3°4′8,0″S","3°4′7,7″S",-59.9142851772745,-59.9144570288613,-59.9144855365944,-59.9143123772678,-3.06888315981062,-3.06895497401208,-3.06888709404036,-3.06881540717157
"55",55,"Ze_e_Maria_55",45056410903,"rua Kokama",39,39,55,"59°54′51,5″W","59°54′52,1″W","59°54′52,3″W","59°54′51,6″W","3°4′7,7″S","3°4′8,0″S","3°4′7,8″S","3°4′7,5″S",-59.9143123772678,-59.9144855365944,-59.9145144284007,-59.9143409833572,-3.06881540717157,-3.06888709404036,-3.06881980979668,-3.06874842600273
"56",56,"Ze_e_Maria_56",31088672054,"rua Kokama",37,37,56,"59°54′51,6″W","59°54′52,3″W","59°54′52,4″W","59°54′51,7″W","3°4′7,5″S","3°4′7,8″S","3°4′7,5″S","3°4′7,3″S",-59.9143408987781,-59.9145140481139,-59.9145432588941,-59.9143695048675,-3.06874857266974,-3.06881980979668,-3.06875494520751,-3.0686815915009
"57",57,"Ze_e_Maria_57",96072800570,"rua Kokama",35,35,57,"59°54′51,7″W","59°54′52,4″W","59°54′52,5″W","59°54′51,8″W","3°4′7,3″S","3°4′7,6″S","3°4′7,3″S","3°4′7,0″S",-59.9143698005752,-59.9145633055574,-59.914593837039,-59.9143990113557,-3.06868173816373,-3.06876400170978,-3.06869755677518,-3.06861394244084
"58",58,"Ze_e_Maria_58",38555751279,"rua Kokama",33,33,58,"59°54′51,8″W","59°54′52,5″W","59°54′52,6″W","59°54′52,0″W","3°4′7,0″S","3°4′7,3″S","3°4′7,1″S","3°4′6,8″S",-59.9143990113557,-59.914593837039,-59.9146241173757,-59.9144345339109,-3.06861394244084,-3.06869731943674,-3.06863021199179,-3.06855134015862
"59",59,"Ze_e_Maria_59",81436284015,"rua Kokama",31,NA,59,"59°54′52,0″W","59°54′52,6″W","59°54′52,7″W","59°54′52,1″W","3°4′6,8″S","3°4′7,1″S","3°4′6,8″S","3°4′6,6″S",-59.9144345339109,-59.9146242124474,-59.9146517832407,-59.9144690321121,-3.06855134015862,-3.06862964237951,-3.06856014967872,-3.06848745119454
"60",60,"Ze_e_Maria_60",38475561362,"rua Kokama",29,NA,60,"59°54′52,1″W","59°54′52,7″W","59°54′52,8″W","59°54′52,2″W","3°4′6,6″S","3°4′6,8″S","3°4′6,6″S","3°4′6,3″S",-59.9144690321121,-59.9146527339577,-59.9146796392491,-59.914502388809,-3.06848745119454,-3.06856014967872,-3.06849322022901,-3.06842117990019
"61",61,"Ze_e_Maria_61",57093347697,"rua Kokama",27,27,61,"59°54′52,2″W","59°54′52,8″W","59°54′53,0″W","59°54′52,3″W","3°4′6,3″S","3°4′6,6″S","3°4′6,3″S","3°4′6,1″S",-59.914502388809,-59.9146795441774,-59.9147126766652,-59.9145362411477,-3.06842117990019,-3.06849303035823,-3.06842243402453,-3.06835421569791
"62",62,"Ze_e_Maria_62",38110860837,"rua Kokama",25,NA,62,"59°54′52,3″W","59°54′53,0″W","59°54′53,1″W","59°54′52,4″W","3°4′6,1″S","3°4′6,3″S","3°4′6,1″S","3°4′5,8″S",-59.9145362411477,-59.9147126766652,-59.9147421488925,-59.9145689535101,-3.06835421569791,-3.06842214921833,-3.06836131935972,-3.06829121094205
"63",63,"Ze_e_Maria_63",97483130189,"rua Kokama",23,NA,63,"59°54′52,4″W","59°54′53,1″W","59°54′53,2″W","59°54′52,5″W","3°4′5,8″S","3°4′6,1″S","3°4′5,9″S","3°4′5,6″S",-59.9145689535101,-59.9147421964284,-59.9147738790727,-59.9145958877671,-3.06829121094205,-3.06836134309358,-3.06829684635132,-3.06822578451001
"64",64,"Ze_e_Maria_64",67264919328,"rua Kokama",21,NA,64,"59°54′52,5″W","59°54′53,2″W","59°54′53,3″W","59°54′52,6″W","3°4′5,6″S","3°4′5,9″S","3°4′5,6″S","3°4′5,4″S",-59.9145958877671,-59.9147742593595,-59.9148020202962,-59.9146244367379,-3.06822578451001,-3.06829656154509,-3.06822934727263,-3.06815807789841
"65",65,"Ze_e_Maria_65",18595559825,"rua Kokama",19,NA,65,"59°54′52,6″W","59°54′53,3″W","59°54′53,4″W","59°54′52,8″W","3°4′5,4″S","3°4′5,6″S","3°4′5,4″S","3°4′5,1″S",-59.9146244367379,-59.9148021391358,-59.9148323006329,-59.9146568220409,-3.06815807789841,-3.06822928793797,-3.06815686408002,-3.06808493862809
"66",66,"Ze_e_Maria_66",75759576895,"av Ipixuna",3,3,66,"59°54′53,7″W","59°54′53,5″W","59°54′54,2″W","59°54′54,3″W","3°4′2,6″S","3°4′2,9″S","3°4′3,2″S","3°4′2,9″S",-59.9149081631498,-59.9148691389994,-59.9150659583799,-59.9150936647596,-3.06740152459905,-3.06748292591573,-3.06754741551424,-3.06746738506025
"67",67,"Ze_e_Maria_67",99903078254,"rua Kokama",3,3,67,"59°54′53,4″W","59°54′54,1″W","59°54′54,2″W","59°54′53,5″W","3°4′3,2″S","3°4′3,5″S","3°4′3,2″S","3°4′2,9″S",-59.9148450508052,-59.9150370128956,-59.9150659583799,-59.9148691389994,-3.06756716328768,-3.06762977214091,-3.06754741551424,-3.06748292591573
"68",68,"Ze_e_Maria_68",80329294519,"rua Kokama",5,5,68,"59°54′53,4″W","59°54′54,1″W","59°54′54,1″W","59°54′53,4″W","3°4′3,5″S","3°4′3,7″S","3°4′3,5″S","3°4′3,2″S",-59.9148275050836,-59.9150146098838,-59.9150370128956,-59.9148450508052,-3.06762724798958,-3.06769173757939,-3.06762977214091,-3.06756716328768
"69",69,"Ze_e_Maria_69",45279150322,"rua Kokama",7,7,69,"59°54′53,3″W","59°54′54,0″W","59°54′54,1″W","59°54′53,4″W","3°4′3,7″S","3°4′3,9″S","3°4′3,7″S","3°4′3,5″S",-59.9148058950987,-59.9149900483527,-59.9150146098838,-59.9148277033403,-3.0676944597032,-3.06776117316578,-3.06769173757939,-3.06762685204428
"70",70,"Ze_e_Maria_70",72499266473,"rua Kokama",9,9,70,"59°54′53,2″W","59°54′53,9″W","59°54′54,0″W","59°54′53,3″W","3°4′4,0″S","3°4′4,2″S","3°4′3,9″S","3°4′3,7″S",-59.9147787339251,-59.9149605761254,-59.9149897631376,-59.9148057959703,-3.06777592544173,-3.06784291259169,-3.0677613630367,-3.06769485564848
"71",71,"Ze_e_Maria_71",24990817578,"rua Kokama",11,11,71,"59°54′53,1″W","59°54′53,7″W","59°54′53,9″W","59°54′53,2″W","3°4′4,3″S","3°4′4,5″S","3°4′4,2″S","3°4′4,0″S",-59.9147480102527,-59.9149288459452,-59.9149601958386,-59.9147787339251,-3.06785528506648,-3.06792493681768,-3.06784272272079,-3.06777592544173
"72",72,"Ze_e_Maria_72",30682691940,"rua Kokama",13,13,72,"59°54′53,0″W","59°54′53,6″W","59°54′53,7″W","59°54′53,1″W","3°4′4,6″S","3°4′4,8″S","3°4′4,5″S","3°4′4,3″S",-59.9147178588136,-59.91489809025,-59.9149289410169,-59.9147480102527,-3.06793318545194,-3.06800363829711,-3.06792507922084,-3.06785528506648
